,marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
0,US,21879631,RY52KZABZK8QF,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,1,0,0,N,Y,"['money', 'something']","['button', 'stop', 'work', 'month', 'use', 'use', 'do', 'money', 'something', 'oh', 'plate', 'fit']",8/31/2015
1,US,14964566,R3GCOEV4HYZG2I,B0055UBB4O,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,"['looks', 'picture']","['didn', 'use', 'price', 'look', 'quality', 'build', 'just', 'wattage', 'bit', 'minute']",8/31/2015
2,US,13230389,R1V2OPPNL0QGCE,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,Y,['stars'],"['microwave', 'price']",8/31/2015
3,US,43655888,R9Q0QDTLKV567,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,3,0,1,N,Y,[],"['watt', 'power']",8/31/2015
4,US,117794,R3DL7HYC3QTWNI,B005GSZB7I,827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd",Major Appliances,4,0,0,N,Y,['stars'],['thought'],8/31/2015
5,US,16018452,R3M88678ZYC6WI,B004ZU09QQ,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,"['great', 'microwave']","['microwave', 'has', 'touch', 'button', 'size', 'countertop', 'beep', 'others']",8/31/2015
6,US,50761053,R2G20T7N6L3HO1,B001QFYDSI,295520151,sharp microwave drawer oven,Major Appliances,1,0,0,N,N,"['stopped', 'work', 'year']","['year', 'part', 'home', 'remodel', 'work', 'work', 'sharp', 'warranty', 'amount', 'money', 'spend', 'year']",8/30/2015
7,US,21924164,R29F0E6EJJCEEM,B004ZUWBVW,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,4,0,0,N,Y,"['was', 'packaging', 'instruction', 'set']","['was', 'packaging', 'instruction', 'worth', 'prime', 'order']",8/29/2015
8,US,18672427,R1WU4A3QFKJ0HT,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,"['great', 'value', 'money']","['neat', 'unit', 'complaint']",8/29/2015
9,US,3159360,R2Q061UH1EJHIJ,B007V7G5TU,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,2,1,1,N,Y,"['review', 'order']","['match', 'stainless', 'steel', 'wall', 'door', 'try', 'need', 'help', 'something', 'microwave', 'noise', 'tray', 'rotate']",8/28/2015
10,US,12458936,R2F0TUS62C3ZCN,B0052G14E8,423421857,danby 0.7 cu.ft. countertop microwave,Major Appliances,5,0,0,N,Y,"['great', 'microwave']","['excellent', 'microwave', 'apartment', 'build', 'microwave', 'microwave', 'footprint', 'all', 'plate', 'fit', 'cook', 'everything', 'microwave', 'sometimes', 'go', 'fault', 'hand', 'top', 'opening', 'closing']",8/28/2015
